*1 Part type: Rding NTC
*2 Part No: 103F3950(-55+200)
*3 Vender: PCsensor.cn
*3 R25=10KΩ 精度:±1% 
*4 B25/50=3950K 精度:±1%
*5 category temperature: -55 to +200 C 
*  data list
*T（℃）;R（KΩ）
-50;712.066
-49;661.926
-48;615.656
-47;572.934
-46;533.466
-45;496.983
-44;463.240
-43;432.015
-42;403.104
-41;376.320
-40;351.495
-39;328.472
-38;307.110
-37;287.279
-36;268.859
-35;251.741
-34;235.826
-33;221.021
-32;207.242
-31;194.412
-30;182.460
-29;171.320
-28;160.932
-27;151.241
-26;142.196
-25;133.750
-24;125.859
-23;118.485
-22;111.589
-21;105.139
-20;99.102
-19;93.450
-18;88.156
-17;83.195
-16;78.544
-15;74.183
-14;70.091
-13;66.250
-12;62.643
-11;59.255
-10;56.071
-9;53.078
-8;50.263
-7;47.614
-6;45.121
-5;42.774
-4;40.563
-3;38.480
-2;36.517
-1;34.665
0;32.919
1;31.270
2;29.715
3;28.246
4;26.858
5;25.547
6;24.307
7;23.135
8;22.026
9;20.977
10;19.987
11;19.044
12;18.154
13;17.310
14;16.510
15;15.752
16;15.034
17;14.352
18;13.705
19;13.090
20;12.507
21;11.953
22;11.427
23;10.927
24;10.452
25;10.000
26;9.570
27;9.161
28;8.771
29;8.401
30;8.048
31;7.712
32;7.391
33;7.086
34;6.795
35;6.518
36;6.254
37;6.001
38;5.761
39;5.531
40;5.311
41;5.102
42;4.902
43;4.710
44;4.528
45;4.353
46;4.186
47;4.026
48;3.874
49;3.728
50;3.588
51;3.454
52;3.326
53;3.203
54;3.085
55;2.973
56;2.865
57;2.761
58;2.662
59;2.567
60;2.476
61;2.388
62;2.304
63;2.223
64;2.146
65;2.072
66;2.000
67;1.932
68;1.866
69;1.803
70;1.742
71;1.684
72;1.627
73;1.573
74;1.521
75;1.471
76;1.423
77;1.377
78;1.332
79;1.289
80;1.248
81;1.208
82;1.170
83;1.133
84;1.097
85;1.063
86;1.030
87;0.998
88;0.968
89;0.938
90;0.909
91;0.882
92;0.855
93;0.829
94;0.805
95;0.781
96;0.758
97;0.735
98;0.714
99;0.693
100;0.673
101;0.653
102;0.635
103;0.616
104;0.599
105;0.582
106;0.565
107;0.550
108;0.534
109;0.519
110;0.505
111;0.491
112;0.478
113;0.465
114;0.452
115;0.440
116;0.428
117;0.416
118;0.405
119;0.395
120;0.384
121;0.374
122;0.364
123;0.355
124;0.345
125;0.337
126;0.328
127;0.319
128;0.311
129;0.303
130;0.296
131;0.288
132;0.281
133;0.274
134;0.267
135;0.261
136;0.254
137;0.248
138;0.242
139;0.236
140;0.230
141;0.225
142;0.219
143;0.214
144;0.209
145;0.204
146;0.199
147;0.195
148;0.190
149;0.186
150;0.181
