*1 Part type: NTC resister
*2 Part No: DAE-ATF-103F-87
*3 Vender: qunawei Dae Hyun 
*3 Rated zero power resistance: 50K; +-1%, (at 25C)
*4 B value: 3950K,¡À1%
*5 category temperature: -50 to +150 C
*6 data interval: 1C
*7 10Kohm at 25C  
*  data list
*T£¨¡æ£©;R£¨K¦¸£©
-50;462
-49;444
-48;426
-47;408
-46;390
-45;372
-44;354
-43;336
-42;318
-41;300
-40;282.6
-39;264.6
-38;248.3
-37;233.5
-36;220
-35;207.4
-34;195.8
-33;185
-32;174.9
-31;165.5
-30;156.6
-29;148.2
-28;140.4
-27;133
-26;126
-25;119.4
-24;113.1
-23;107.2
-22;101.7
-21;96.52
-20;91.59
-19;86.93
-18;82.49
-17;78.28
-16;74.28
-15;70.48
-14;66.88
-13;63.45
-12;60.2
-11;57.11
-10;54.19
-9;51.43
-8;48.82
-7;46.35
-6;44.02
-5;41.81
-4;39.72
-3;37.75
-2;35.88
-1;34.11
0;32.44
1;30.86
2;29.36
3;27.93
4;26.59
5;25.31
6;24.11
7;22.96
8;21.88
9;20.85
10;19.88
11;18.96
12;18.08
13;17.25
14;16.46
15;15.71
16;15
17;14.32
18;13.68
19;13.07
20;12.49
21;11.94
22;11.42
23;10.92
24;10.45
25;10
26;9.571
27;9.163
28;8.775
29;8.405
30;8.052
31;7.717
32;7.397
33;7.091
34;6.801
35;6.523
36;6.258
37;6.006
38;5.765
39;5.536
40;5.315
41;5.105
42;4.904
43;4.713
44;4.53
45;4.355
46;4.187
47;4.027
48;3.874
49;3.728
50;3.588
51;3.455
52;3.327
53;3.205
54;3.087
55;2.975
56;2.867
57;2.764
58;2.665
59;2.569
60;2.478
61;2.39
62;2.306
63;2.225
64;2.148
65;2.073
66;2.002
67;1.933
68;1.867
69;1.803
70;1.742
71;1.684
72;1.627
73;1.573
74;1.521
75;1.471
76;1.423
77;1.376
78;1.332
79;1.289
80;1.247
81;1.208
82;1.169
83;1.133
84;1.097
85;1.063
86;1.03
87;0.9982
88;0.9676
89;0.9381
90;0.9097
91;0.8823
92;0.8559
93;0.8304
94;0.8059
95;0.7822
96;0.7593
97;0.7372
98;0.7159
99;0.6953
100;0.6754
101;0.6563
102;0.6377
103;0.6198
104;0.6025
105;0.5867
106;0.5695
107;0.5539
108;0.5387
109;0.5241
110;0.5099
111;0.4961
112;0.4829
113;0.47
114;0.4575
115;0.4464
116;0.4337
117;0.4224
118;0.4114
119;0.4007
120;0.3904
121;0.3804
122;0.3706
123;0.3612
124;0.352
125;0.3431
126;0.3345
127;0.3281
128;0.3179
129;0.31
130;0.3023
131;0.2948
132;0.2875
133;0.2805
134;0.2736
135;0.2669
136;0.2603
137;0.254
138;0.2478
139;0.2418
140;0.2359
141;0.2302
142;0.2246
143;0.2192
144;0.2139
145;0.2088
146;0.2037
147;0.1988
148;0.1941
149;0.1894
150;0.1853
